#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (01-2024 - 12-2025),SV Forecasting trend (01-2026 - 01-2027)
1,va seo company,us,1,500,,,virginia seo company,2026-01-27 08:54:08,"AI Overview,Thumbnail,People also ask,Sitelinks",800,800,800,2020-01-07,"Informational,Commercial,Non-branded,Local",English,"9, 15, 5, 0, 3, 3, 0, 0, 5, 28, 25, 29, 74, 143, 255, 312, 326, 213, 515, 540, 666, 435, 765, 1040",636
2,seo company richmond va,us,0,400,19.00,,seo services richmond,2025-12-21 13:36:53,"Local pack,Sitelinks,People also ask",500,2900,3000,2015-11-18,"Informational,Commercial,Non-branded,Local",English,"60, 68, 81, 81, 82, 81, 145, 121, 196, 122, 135, 185, 183, 216, 394, 450, 578, 399, 413, 410, 683, 247, 273, 350","322, 320, 373, 337, 392, 322, 527, 410, 426, 337, 331, 351, 323"
3,virtual assistant seo,us,3,350,4.00,,seo va,2026-01-18 12:51:38,"AI Overview,Video preview,Thumbnail,Sitelinks,People also ask",800,600,700,2016-02-08,"Informational,Commercial,Non-branded,Non-local",English,"101, 95, 94, 98, 74, 87, 103, 85, 324, 698, 143, 197, 284, 329, 476, 479, 354, 186, 223, 215, 748, 238, 148, 363","390, 381, 400, 400, 366, 345, 358, 352, 435, 435, 384, 405, 431"
4,seo virtual assistant,us,1,300,8.00,,seo va,2025-12-25 11:23:00,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",900,600,700,2016-10-11,"Informational,Commercial,Non-branded,Non-local",English,"122, 93, 167, 141, 137, 112, 91, 141, 115, 176, 172, 185, 174, 297, 454, 370, 273, 170, 246, 189, 585, 159, 126, 262","313, 290, 340, 325, 288, 270, 257, 271, 327, 311, 318, 283, 337"
5,seo company in chantilly va,us,,200,,,,,,200,,,2016-01-07,,,,
6,va dental seo company,us,0,200,,,virginia creative group,2026-01-13 03:30:49,"AI Overview,Thumbnail,Sitelinks",250,0,0,2020-04-21,"Informational,Commercial,Non-branded,Local",English,"5, 0, 3, 2, 0, 0, 0, 0, 0, 15, 29, 40, 10, 1, 32, 45, 79, 33, 196, 134, 377, 259, 312, 831",287
7,northern va seo company,us,0,150,11.00,,search engine optimization companies in northern virginia,2025-12-24 09:53:40,Local pack,250,600,600,2016-07-04,"Informational,Commercial,Non-branded,Local",English,"11, 10, 10, 10, 10, 10, 10, 10, 12, 15, 15, 26, 32, 70, 142, 216, 128, 50, 107, 104, 312, 215, 341, 206","198, 202, 209, 216, 211, 194, 195, 204, 202, 184, 176, 177, 174"
8,seo company fairfax va,us,6,150,6.00,,seo services fairfax va,2025-11-28 22:36:02,"Local pack,Sitelinks",200,70,70,2019-09-03,"Informational,Commercial,Non-branded,Local",English,"31, 30, 29, 28, 28, 29, 85, 84, 33, 36, 35, 34, 34, 89, 198, 204, 149, 74, 84, 83, 326, 87, 208, 144","154, 162, 173, 175, 171, 170, 180, 183, 198, 181, 189, 189, 199"
9,seo company va,us,1,150,7.00,,mclean seo company,2025-12-22 12:57:48,Local pack,300,60,60,2020-01-07,"Informational,Commercial,Non-branded,Local",English,"18, 19, 20, 23, 39, 71, 60, 24, 22, 31, 24, 24, 40, 94, 146, 180, 185, 77, 106, 147, 288, 131, 164, 160","171, 173, 176, 180, 178, 173, 174, 176, 180, 169, 169, 164, 174"
10,fairfax va seo company,us,1,150,17.00,,fairfax seo company,2026-01-18 04:36:03,"Local pack,Sitelinks",250,150,150,2020-01-12,"Informational,Commercial,Non-branded,Local",English,"39, 10, 19, 10, 10, 10, 63, 63, 38, 48, 33, 42, 44, 68, 290, 246, 211, 107, 178, 126, 291, 105, 126, 168","171, 174, 201, 196, 197, 184, 197, 201, 216, 203, 208, 207, 209"
11,seo company in va,us,3,150,,,seo company in virginia,2026-01-15 11:25:17,"Local pack,Sitelinks",200,400,500,2016-01-04,"Informational,Commercial,Non-branded,Local",English,,
12,virtual assistant seo services,us,1,150,0.50,,seo va,2026-01-06 13:15:37,People also ask,400,600,700,2015-09-09,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
13,virtual seo assistant,us,1,100,9.00,,seo va,2026-01-06 05:55:17,People also ask,250,600,700,2020-01-10,"Informational,Commercial,Non-branded,Non-local",English,,
