Date,Clicks,Impressions,CTR,Position
2025-10-28,0,67,0%,47.1
2025-10-29,0,95,0%,43
2025-10-30,0,99,0%,41.9
2025-10-31,0,74,0%,44.4
2025-11-01,0,73,0%,50.1
2025-11-02,0,76,0%,44.6
2025-11-03,0,70,0%,42.2
2025-11-04,0,87,0%,39.5
2025-11-05,1,59,1.69%,40.8
2025-11-06,1,98,1.02%,43.3
2025-11-07,0,61,0%,44.8
2025-11-08,0,77,0%,37.2
2025-11-09,2,76,2.63%,33.2
2025-11-10,0,98,0%,39.2
2025-11-11,0,104,0%,46
2025-11-12,1,120,0.83%,50.1
2025-11-13,1,142,0.7%,48.8
2025-11-14,1,130,0.77%,42.8
2025-11-15,1,117,0.85%,41.8
2025-11-16,3,164,1.83%,48.7
2025-11-17,0,102,0%,46.3
2025-11-18,0,121,0%,49.2
2025-11-19,0,110,0%,51.7
2025-11-20,0,125,0%,59.1
2025-11-21,0,104,0%,56.7
2025-11-22,0,100,0%,53.6
2025-11-23,1,139,0.72%,64.5
2025-11-24,0,106,0%,53.3
2025-11-25,1,125,0.8%,55.4
2025-11-26,0,104,0%,55.6
2025-11-27,0,117,0%,53.9
2025-11-28,0,84,0%,55.6
2025-11-29,0,76,0%,55.3
2025-11-30,0,97,0%,47.2
2025-12-01,0,96,0%,42.4
2025-12-02,0,107,0%,53.3
2025-12-03,1,139,0.72%,50.2
2025-12-04,1,193,0.52%,59.1
2025-12-05,1,205,0.49%,61.7
2025-12-06,1,144,0.69%,44.2
2025-12-07,1,177,0.56%,69.1
2025-12-08,0,126,0%,64.3
2025-12-09,0,144,0%,60.8
2025-12-10,0,146,0%,61.6
2025-12-11,1,209,0.48%,52.9
2025-12-12,1,185,0.54%,58.7
2025-12-13,0,145,0%,52.5
2025-12-14,0,158,0%,43.3
2025-12-15,0,173,0%,44.2
2025-12-16,0,210,0%,50.2
2025-12-17,0,168,0%,49.4
2025-12-18,0,227,0%,48.3
2025-12-19,0,235,0%,48.7
2025-12-20,0,189,0%,47.8
2025-12-21,0,179,0%,42.5
2025-12-22,0,220,0%,39.9
2025-12-23,0,212,0%,48.3
2025-12-24,0,290,0%,41.7
2025-12-25,1,230,0.43%,42.4
2025-12-26,0,216,0%,50.2
2025-12-27,1,174,0.57%,43.2
2025-12-28,0,184,0%,41.5
2025-12-29,1,236,0.42%,40.6
2025-12-30,0,322,0%,54
2025-12-31,0,525,0%,53.1
2026-01-01,0,732,0%,56.6
2026-01-02,0,437,0%,53.2
2026-01-03,0,368,0%,54.8
2026-01-04,0,372,0%,48.5
2026-01-05,1,410,0.24%,45
2026-01-06,0,337,0%,49.6
2026-01-07,0,629,0%,54.7
2026-01-08,0,573,0%,58.4
2026-01-09,0,468,0%,53.3
2026-01-10,0,397,0%,47.4
2026-01-11,0,388,0%,45.2
2026-01-12,1,262,0.38%,42.7
2026-01-13,0,325,0%,50.6
2026-01-14,0,371,0%,52.1
2026-01-15,0,230,0%,42.6
2026-01-16,0,328,0%,44.2
2026-01-17,0,256,0%,49.6
2026-01-18,0,193,0%,50.3
2026-01-19,1,295,0.34%,41.6
2026-01-20,0,288,0%,47.6
2026-01-21,1,325,0.31%,51.5
2026-01-22,0,288,0%,44.3
2026-01-23,0,345,0%,48.5
2026-01-24,0,377,0%,34
2026-01-25,0,268,0%,50.2
2026-01-26,1,295,0.34%,44.9
2026-01-27,0,306,0%,47.3
