Country,Clicks,Impressions,CTR,Position
United States,21,16131,0.13%,47.95
South Africa,3,14,21.43%,37.5
United Kingdom,1,663,0.15%,58.58
India,1,97,1.03%,48.88
France,1,94,1.06%,61.5
Poland,1,21,4.76%,46.48
Australia,0,343,0%,73.18
Spain,0,313,0%,69.33
Germany,0,259,0%,62.21
Switzerland,0,209,0%,69.65
Austria,0,204,0%,67.84
Canada,0,203,0%,49.78
Brazil,0,80,0%,52.19
Argentina,0,56,0%,29.89
Mexico,0,52,0%,57.38
Pakistan,0,47,0%,33.34
Philippines,0,41,0%,42.39
Vietnam,0,40,0%,49.9
Ukraine,0,33,0%,32.97
Indonesia,0,30,0%,54.8
Russia,0,28,0%,61.89
Italy,0,22,0%,23.36
Bulgaria,0,19,0%,14.95
Colombia,0,19,0%,32.74
United Arab Emirates,0,18,0%,29.67
Japan,0,18,0%,59.61
Thailand,0,16,0%,47.12
Chile,0,15,0%,35.67
Turkey,0,14,0%,28.93
Netherlands,0,14,0%,29.71
Israel,0,13,0%,25.46
Singapore,0,13,0%,48.92
Romania,0,12,0%,11.83
Bangladesh,0,12,0%,20.25
Ecuador,0,12,0%,30.25
Egypt,0,12,0%,50.5
Venezuela,0,11,0%,22.55
Saudi Arabia,0,10,0%,31.6
Malaysia,0,8,0%,58.38
Ireland,0,7,0%,31.86
Peru,0,7,0%,32.14
Oman,0,7,0%,38
South Korea,0,7,0%,41.43
Estonia,0,7,0%,46.57
Belarus,0,7,0%,61.71
Croatia,0,6,0%,18.5
Algeria,0,6,0%,51.83
Hungary,0,6,0%,52.67
Nigeria,0,6,0%,60.33
Czechia,0,5,0%,5.8
Morocco,0,5,0%,24
Serbia,0,5,0%,45.6
Dominican Republic,0,5,0%,62.2
Sri Lanka,0,5,0%,63.4
New Zealand,0,5,0%,68
Portugal,0,4,0%,22.25
Bosnia & Herzegovina,0,4,0%,23.5
Unknown Region,0,4,0%,64
Taiwan,0,4,0%,79
Namibia,0,3,0%,1.67
Latvia,0,3,0%,5.67
Gibraltar,0,3,0%,7.33
Greece,0,3,0%,7.67
Trinidad & Tobago,0,3,0%,16.67
Tunisia,0,3,0%,20.33
Ethiopia,0,3,0%,23.33
Belgium,0,3,0%,33.33
Bahamas,0,3,0%,34.67
Panama,0,3,0%,48
El Salvador,0,3,0%,83.67
Guatemala,0,2,0%,2
Kuwait,0,2,0%,4
Qatar,0,2,0%,4
Lebanon,0,2,0%,7.5
Barbados,0,2,0%,12
Costa Rica,0,2,0%,37.5
Syria,0,2,0%,38.5
Senegal,0,2,0%,40
Jordan,0,2,0%,44
Guyana,0,2,0%,44.5
Lithuania,0,2,0%,48
Myanmar (Burma),0,2,0%,49
Cambodia,0,2,0%,61
Iran,0,2,0%,64
Kenya,0,2,0%,68.5
Bolivia,0,2,0%,85
Denmark,0,1,0%,1
Côte d’Ivoire,0,1,0%,2
Malawi,0,1,0%,3
Antigua & Barbuda,0,1,0%,4
Nepal,0,1,0%,4
Isle of Man,0,1,0%,5
Kosovo,0,1,0%,6
Finland,0,1,0%,7
Hong Kong,0,1,0%,9
St. Kitts & Nevis,0,1,0%,9
U.S. Virgin Islands,0,1,0%,9
China,0,1,0%,10
Guam,0,1,0%,10
Macau,0,1,0%,10
Jamaica,0,1,0%,11
St. Lucia,0,1,0%,12
Papua New Guinea,0,1,0%,12
Sweden,0,1,0%,12
Ghana,0,1,0%,32
Belize,0,1,0%,34
Iraq,0,1,0%,44
Mozambique,0,1,0%,66
Cameroon,0,1,0%,67
Libya,0,1,0%,68
Cuba,0,1,0%,69
Kazakhstan,0,1,0%,73
Zimbabwe,0,1,0%,79
Réunion,0,1,0%,84
Western Sahara,0,1,0%,90
Moldova,0,1,0%,90
Paraguay,0,1,0%,97
